task_id,system_type,model,error,rater_a_correctness,rater_a_completeness,rater_a_traceability_usefulness,rater_a_governance_adequacy,rater_a_hallucination_risk,rater_a_rubric_total,rater_a_parse_ok,rater_a_slot_nonempty,rater_b_correctness,rater_b_completeness,rater_b_traceability_usefulness,rater_b_governance_adequacy,rater_b_hallucination_risk,rater_b_rubric_total,rater_b_parse_ok,rater_b_slot_nonempty,correctness,completeness,traceability_usefulness,governance_adequacy,hallucination_risk,rubric_total
ADV-01,academic advising assistant,llama3.2:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
ADV-02,academic advising assistant,llama3.2:3b__schema,,1,2,1,2,2,8,1,6,1,2,1,2,2,8,1,6,1.0,2.0,1.0,2.0,2.0,8.0
ADV-03,academic advising assistant,llama3.2:3b__schema,,1,2,1,2,2,8,1,6,1,2,1,2,2,8,1,6,1.0,2.0,1.0,2.0,2.0,8.0
HR-01,HR policy assistant,llama3.2:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
HR-02,HR policy assistant,llama3.2:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
HR-03,HR policy assistant,llama3.2:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
CODE-01,LLM code review assistant,llama3.2:3b__schema,,2,2,0,2,2,8,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,2.0,8.0
CODE-02,LLM code review assistant,llama3.2:3b__schema,,2,2,1,2,1,8,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,1.5,8.5
CODE-03,LLM code review assistant,llama3.2:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,1.5,1.0,6.5
SUP-01,customer support chatbot,llama3.2:3b__schema,,2,2,0,1,2,7,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,2.0,7.0
SUP-02,customer support chatbot,llama3.2:3b__schema,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SUP-03,customer support chatbot,llama3.2:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,1,6,1,6,2.0,2.0,0.0,1.0,1.0,6.0
MED-01,clinical information assistant,llama3.2:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
MED-02,clinical information assistant,llama3.2:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,2,8,1,6,2.0,2.0,0.0,2.0,1.5,7.5
MED-03,clinical information assistant,llama3.2:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,1,6,1,6,2.0,2.0,0.0,1.0,1.0,6.0
LEGAL-01,legal information assistant,llama3.2:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
LEGAL-02,legal information assistant,llama3.2:3b__schema,,2,2,1,2,2,9,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,2.0,9.0
LEGAL-03,legal information assistant,llama3.2:3b__schema,,2,2,0,2,1,7,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,2.0,1.0,7.0
FIN-01,financial education assistant,llama3.2:3b__schema,,2,2,1,1,2,8,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,1.5,2.0,8.5
FIN-02,financial education assistant,llama3.2:3b__schema,,2,2,0,2,0,6,1,6,2,2,0,2,0,6,1,6,2.0,2.0,0.0,2.0,0.0,6.0
FIN-03,financial education assistant,llama3.2:3b__schema,,2,2,0,1,0,5,1,6,2,2,0,1,0,5,1,6,2.0,2.0,0.0,1.0,0.0,5.0
PROC-01,procurement assistant,llama3.2:3b__schema,,2,2,0,1,2,7,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,2.0,7.0
PROC-02,procurement assistant,llama3.2:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,1,2,7,1,6,2.0,2.0,0.0,1.0,1.5,6.5
PROC-03,procurement assistant,llama3.2:3b__schema,,2,2,0,1,1,6,1,6,2,2,0,2,1,7,1,6,2.0,2.0,0.0,1.5,1.0,6.5
DATA-01,data analysis assistant,llama3.2:3b__schema,,1,2,0,1,2,6,1,6,2,2,0,2,2,8,1,6,1.5,2.0,0.0,1.5,2.0,7.0
DATA-02,data analysis assistant,llama3.2:3b__schema,,2,2,1,2,1,8,1,6,2,2,1,2,2,9,1,6,2.0,2.0,1.0,2.0,1.5,8.5
