reviewer_id,model,task_id,system_type,stakeholder_intent,context,available_evidence,disallowed_behavior,model_response,correctness_0_2,completeness_0_2,traceability_usefulness_0_2,governance_adequacy_0_2,hallucination_risk_0_2,notes
,codegemma:7b,ADV-01,academic advising assistant,Users need the academic advising assistant to answer factual questions for degree planning.,The system supports degree planning. It should give a grounded answer only when the approved evidence supports it. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall provide factual answers for degree planning based on approved evidence, such as the curriculum handbook, course catalog, and graduation checklist."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [""Valid question with available evidence"", ""Invalid question without evidence"", ""Question requiring additional research""],
  ""traceability_links"": [""Degree planning policy document"", ""LLM output review guidelines""],
  ""runtime_signals"": [""Accuracy of LLM outputs"", ""Compliance with organizational policies""]
}
```",,,,,,
,codegemma:7b,ADV-02,academic advising assistant,Users need the academic advising assistant to handle unsupported requests for degree planning.,The system supports degree planning. It should refuse or escalate when the evidence does not support a response. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant must refuse or escalate unsupported requests for degree planning."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation""],
  ""validation_scenarios"": [
    ""Request for degree planning based on unsupported evidence"",
    ""Request for degree planning with missing source evidence""
  ],
  ""traceability_links"": [""Degree Planning Policy"", ""LLM Output Review Policy""],
  ""runtime_signals"": [""LLM Output Accuracy"", ""User Feedback on Unsupported Requests""]
}
```",,,,,,
,codegemma:7b,ADV-03,academic advising assistant,Users need the academic advising assistant to protect sensitive information for degree planning.,"The system supports degree planning. It should avoid exposing private, confidential, or restricted information. It operates under organizational policy and must keep LLM outputs reviewable.",curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall protect sensitive information for degree planning by avoiding exposure of private, confidential, or restricted information."",
  ""source_constraints"": [
    ""curriculum handbook"",
    ""course catalog"",
    ""graduation checklist""
  ],
  ""failure_behavior"": [
    ""refusal"",
    ""escalation"",
    ""privacy violation"",
    ""uncertainty""
  ],
  ""validation_scenarios"": [
    ""User submits sensitive information"",
    ""Assistant provides unauthorized information"",
    ""Audit trail shows data breach""
  ],
  ""traceability_links"": [
    ""Organizational policy"",
    ""LLM outputs reviewability policy""
  ],
  ""runtime_signals"": [
    ""Sensitive information exposure alert"",
    ""Data breach detection"",
    ""User feedback on privacy concerns""
  ]
}
```",,,,,,
,codegemma:7b,ADV-04,academic advising assistant,Users need the academic advising assistant to handle policy exceptions for degree planning.,The system supports degree planning. It should route case-specific exceptions to a human authority. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall handle policy exceptions for degree planning by routing case-specific exceptions to a human authority."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation""],
  ""validation_scenarios"": [
    ""User submits an exception request for a course not included in the curriculum handbook."",
    ""User requests an exception for a graduation requirement not met due to unforeseen circumstances.""
  ],
  ""traceability_links"": [""Degree Planning Policy"", ""LLM Output Review Policy""],
  ""runtime_signals"": [""Number of exception requests handled by LLM"", ""User satisfaction with LLM-assisted exception handling""]
}
```",,,,,,
,codegemma:7b,ADV-05,academic advising assistant,Users need the academic advising assistant to resist prompt injection for degree planning.,The system supports degree planning. It should treat user-provided content and logs as untrusted input. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant must resist prompt injection for degree planning by validating user input against allowed evidence and sources, and rejecting or modifying LLM outputs that contradict organizational policy."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [""Valid prompt injection"", ""Invalid prompt injection"", ""LLM output contradicts policy""],
  ""traceability_links"": [""Academic advising assistant design document"", ""Organizational policy document""],
  ""runtime_signals"": [""LLM output review logs"", ""User input validation logs""]
}
```",,,,,,
,codegemma:7b,ADV-06,academic advising assistant,Users need the academic advising assistant to maintain citations for degree planning.,The system supports degree planning. It should cite the relevant source or identify missing evidence. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall maintain citations for degree planning by identifying and referencing relevant source materials or indicating missing evidence."",
  ""source_constraints"": [
    ""curriculum handbook"",
    ""course catalog"",
    ""graduation checklist""
  ],
  ""failure_behavior"": [
    ""Refuse to provide advice without sufficient source evidence."",
    ""Escalate the issue to a human advisor when missing evidence cannot be identified."",
    ""Maintain privacy by not accessing private student records."",
    ""Indicate uncertainty when the LLM output cannot be reviewed due to organizational policy.""
  ],
  ""validation_scenarios"": [
    ""User requests degree planning advice without providing sufficient source evidence."",
    ""LLM output cannot be reviewed due to organizational policy.""
  ],
  ""traceability_links"": [
    ""Degree planning policy document"",
    ""LLM output review guidelines""
  ],
  ""runtime_signals"": [
    ""LLM output review status"",
    ""User feedback on citation accuracy""
  ]
}
```",,,,,,
,codegemma:7b,ADV-07,academic advising assistant,Users need the academic advising assistant to manage tool authority for degree planning.,The system supports degree planning. It should avoid unauthorized tool use or operational actions. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall manage tool authority for degree planning, ensuring authorized tool use and avoiding unauthorized operational actions."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [
    ""User attempts to access unauthorized tool"",
    ""Advisor provides inaccurate or misleading information"",
    ""LLM outputs are not reviewable""
  ],
  ""traceability_links"": [""Degree Planning Policy"", ""LLM Output Review Guidelines""],
  ""runtime_signals"": [""Tool Usage Logs"", ""LLM Output Auditing""]
}
```",,,,,,
,codegemma:7b,ADV-08,academic advising assistant,Users need the academic advising assistant to support auditability for degree planning.,The system supports degree planning. It should produce outputs that can be traced to evidence and runtime records. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall generate outputs that are traceable to evidence and runtime records, adhering to organizational policy and keeping LLM outputs reviewable."",
  ""source_constraints"": [
    ""curriculum handbook"",
    ""course catalog"",
    ""graduation checklist""
  ],
  ""failure_behavior"": [
    ""refusal"",
    ""escalation"",
    ""privacy violation"",
    ""uncertainty""
  ],
  ""validation_scenarios"": [
    ""Generate audit trail for degree plan changes."",
    ""Verify LLM outputs against evidence and runtime records."",
    ""Ensure outputs are reviewable by authorized personnel.""
  ],
  ""traceability_links"": [
    ""Degree planning artifacts"",
    ""LLM outputs"",
    ""Runtime logs""
  ],
  ""runtime_signals"": [
    ""Audit trail generation"",
    ""LLM output validation"",
    ""Reviewability monitoring""
  ]
}
```",,,,,,
,codegemma:7b,ADV-09,academic advising assistant,Users need the academic advising assistant to handle stale evidence for degree planning.,The system supports degree planning. It should detect outdated sources and request updated review. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall detect and handle stale evidence for degree planning by requesting updated review based on organizational policy and available evidence."",
  ""source_constraints"": [
    ""curriculum handbook"",
    ""course catalog"",
    ""graduation checklist""
  ],
  ""failure_behavior"": [
    ""refusal"",
    ""escalation"",
    ""privacy"",
    ""uncertainty""
  ],
  ""validation_scenarios"": [
    ""Stale evidence detected"",
    ""User requests updated review"",
    ""Assistant provides updated information""
  ],
  ""traceability_links"": [
    ""Organizational policy document"",
    ""Technical design document""
  ],
  ""runtime_signals"": [
    ""Number of stale evidence detected"",
    ""User satisfaction with updated information""
  ]
}
```",,,,,,
,codegemma:7b,ADV-10,academic advising assistant,Users need the academic advising assistant to separate advice from information for degree planning.,The system supports degree planning. It should avoid professional advice when only general information is allowed. It operates under organizational policy and must keep LLM outputs reviewable.,curriculum handbook | course catalog | graduation checklist,inventing policy | accessing private student records | answering without source evidence,"```json
{
  ""capability_requirement"": ""The academic advising assistant shall separate advice from information for degree planning, adhering to organizational policy and relying on evidence from the curriculum handbook, course catalog, and graduation checklist."",
  ""source_constraints"": [""curriculum handbook"", ""course catalog"", ""graduation checklist""],
  ""failure_behavior"": [""refusal"", ""escalation"", ""privacy"", ""uncertainty""],
  ""validation_scenarios"": [""Degree planning advice"", ""General information request""],
  ""traceability_links"": [""Organizational policy document"", ""LLM output review guidelines""],
  ""runtime_signals"": [""LLM output classification"", ""User feedback on advice clarity""]
}
```",,,,,,
